"RaceYearId","Event","Race","City","Country","Date","StartTime","Participation","Distance","ElevationGain","ElevationLoss","AidStations","Participants","lat","lon"
52399,"Ultra Trails Lake Tahoe","100 Mile","Truckee","United States","2019-10-13","05:30:00","solo",159.2,6590,-6590,20,100,39.327962,-120.1832533
46617,"Bromont Ultra","160km","Bromont","Canada","2019-10-12","07:00:00","solo",155.6,6220,-6220,17,0,45.2852479,-72.6872419
39531,"Hume And Hovell Ultra","100 Mile","Tumbarumba","Australia","2019-10-12","06:00:00","solo",163.1,4610,-4600,10,100,-35.7694861,148.0057003
41175,"INDIANA TRAIL 100","100 mi","Albion","United States","2019-10-12","06:00:00","solo",162.4,3480,-3460,5,250,42.243097,-84.7530304
45287,"Markotkh - R","100 miles - Solo","Novorossiysk","Russia","2019-10-12","12:00:00","solo",162.7,6910,-6910,34,100,44.7180464,37.7770117
47571,"Snowdon Ultra","Snowdon Ultra 100","BetwsyCoed","United Kingdom","2019-10-12","06:00:00","solo",163.5,7600,-7600,13,100,53.0930858,-3.8010354
54421,"The Cederberg Traverse","100 Mile","Cederberg","South Africa","2019-10-11","06:00:00","solo",163,6500,-6500,5,50,-32.5891202,19.0118251
52435,"The North Face Endurance Challenge Chile","160 Km","Huechuraba","Chile","2019-10-11","17:00:00","solo",163.9,8220,-9860,16,100,-33.3742128,-70.6367425
50011,"ULTRA DE ULTRAS","170 Km ULTRA DE ULTRAS","CUNDINAMARCA","Colombia","2019-10-11","20:00:00","solo",170,9910,-9910,14,50,5.026003,-74.0300122
52499,"Virgin Forest Trail","Ultra-Trail®","PARANESTI","Greece","2019-10-11","00:00:00","solo",163.9,7260,-7260,15,150,41.267032,24.5008777
42707,"100 Miles Sud De France","100 Miles","bolquere","France","2019-10-04","10:00:00","solo",172.5,8420,-10160,15,500,42.502505,2.0779169
58551,"Grindstone 100","Grindstone 100","Swoope","United States","2019-10-04","00:00:00","solo",159.6,6980,-6980,15,300,38.1581851,-79.2064223
46687,"MesaStila 100","170 Km","Magelang","Indonesia","2019-10-04","17:00:00","solo",167.9,9590,-9590,11,0,-7.4797342,110.2176941
45167,"SLO100","SLO100 KRPAN 171 km","Cerknica","Slovenia","2019-10-04","15:00:00","solo",173.5,7790,-7790,11,150,45.7966255,14.392177
46701,"Ultra-Trail el Rincon","UTR 170K","Castielfabib","Spain","2019-10-04","19:00:00","solo",172.1,6730,-6720,15,100,40.1309055,-1.3053578
46901,"Waterous Trail On Foot","WTF 100","Dwellingup","Australia","2019-09-28","06:00:00","solo",163,3960,-3960,7,30,-32.7144812,116.0621031
39019,"The Georgia Jewel","100 Miler","Dalton","United States","2019-09-22","05:00:00","solo",162.8,4000,-4000,18,70,34.7698021,-84.9702228
45885,"Black River Run","100 Miles","Västerås","Sweden","2019-09-21","10:00:00","solo",161.5,1030,-1030,9,200,59.6099005,16.5448092
36169,"Cotswold Way Century","102 Miles","ChippingCampden","United Kingdom","2019-09-21","12:00:00","solo",165.6,4130,-4240,10,130,52.049655,-1.7832211
47035,"Pirin Ultra","160km","Bansko","Bulgaria","2019-09-21","00:00:00","Solo",161.2,10980,-10980,9,0,41.8404241,23.485653
42289,"Whistler Alpine Meadows","100M","Whistler","Canada","2019-09-21","10:00:00","solo",174.8,10310,-10300,10,300,50.1161686,-122.9535117
38525,"Adamello Ultra-Trail®","Ultra-Trail®","Vezzad'Oglio","Italy","2019-09-20","09:00:00","solo",165,11380,-11380,19,0,46.240099,10.3987474
52425,"Karkloof100","Karkloof100","Howick","South Africa","2019-09-20","20:00:00","solo",157,3330,-3410,18,140,-29.4892951,30.2166519
47641,"Midnight Moose Ultra","160K","Chelsea","Canada","2019-09-20","08:00:00","solo",160.8,4870,-4870,11,100,45.5401738,-75.867482
40445,"Mogollon Monster 100","100 Mi","Pine","United States","2019-09-14","06:00:00","solo",164.7,5540,-5530,12,150,39.9501159,-74.5162641
